Mouse_ID,Gene,Gene_ID,Sex,Genotype,FED3,BEAM,DOB,FED_StartDate,Weight1_Friday,Weight2_Monday,Weight3_Friday,Weight4_Monday,Weight5_Friday,Weight6_SI,Stim_Partner,Stim_Weight,Bandit100_EX,Bandit80_EX,FR1_EX,PR1_EX,BEAM_EX
MYT1L_001_3_20,MYT1L,1,M,Het,24,24,12/13/2024 0:00,3/3/2025 0:00,24.19,,25.22,24.21,24.43,25.19,B-3,22.63,,,,,
MYT1L_001_5_25,MYT1L,1,M,Het,25,7,12/13/2024 0:00,3/3/2025 0:00,22.19,,22.08,22.01,21.66,22.34,A-2,26.2,,,,,
MYT1L_001_8_33,MYT1L,1,M,Het,27,4,12/13/2024 0:00,3/3/2025 0:00,25.04,,25.49,23.82,25.32,24.11,D-2,27.15,,,,,Low avg activity (4.68%)
MYT1L_001_8_37,MYT1L,1,M,Het,41,41,12/13/2024 0:00,3/3/2025 0:00,23.68,,25.25,23.64,24.15,23.34,B-2,22.64,1KB file,,,,Low avg activity (3.88%)
MYT1L_001_9_17,MYT1L,1,M,Het,26,44,12/13/2024 0:00,3/3/2025 0:00,21.9,,22.65,21.8,22.39,22.32,C-2,26.06,,,,,
MYT1L_001_1_1,MYT1L,1,F,Wt,11,3,12/12/2024 0:00,3/3/2025 0:00,18.26,,19.53,18.34,20.07,18.51,F-1,19,,,,,
MYT1L_001_1_4,MYT1L,1,F,Wt,14,14,12/12/2024 0:00,3/3/2025 0:00,18.46,,19.74,19.87,19.48,19.57,E-1,20.31,,,,,
MYT1L_001_10_42,MYT1L,1,F,Wt,19,19,12/13/2024 0:00,3/3/2025 0:00,20.25,,21.56,20.15,20.63,20.15,E-4,20.41,,,,,
MYT1L_001_12_48,MYT1L,1,F,Wt,20,20,12/12/2024 0:00,3/3/2025 0:00,19.24,,19.31,18.53,20.23,19.48,F-2,19.57,,,,,
MYT1L_001_2_6,MYT1L,1,F,Wt,15,15,12/12/2024 0:00,3/3/2025 0:00,19.91,,21.59,20.03,20.39,20.65,G-2,20.52,,,,,
MYT1L_001_5_23,MYT1L,1,F,Wt,12,12,12/13/2024 0:00,3/3/2025 0:00,18.35,,19.15,18.35,19.81,19.32,G-1,20.67,,,,,
MYT1L_001_5_27,MYT1L,1,F,Wt,13,13,12/13/2024 0:00,3/3/2025 0:00,18.5,,19.69,18.6,20.07,18.89,G-1,20.67,,,,,
MYT1L_001_7_32,MYT1L,1,F,Wt,17,17,12/13/2024 0:00,3/3/2025 0:00,19.95,,20.89,20.1,20.42,19.63,E-3,18.94,,,,,
MYT1L_001_8_41,MYT1L,1,F,Wt,18,18,12/13/2024 0:00,3/3/2025 0:00,17.53,,19.03,18.21,20.08,18.6,E-2,22.04,Device 018: 'Pellet_Count' stayed at 1 for >8 hrs starting 2025-03-03 14:47:41,,,,
MYT1L_001_9_11,MYT1L,1,F,Wt,16,16,12/12/2024 0:00,3/3/2025 0:00,18.48,,19.05,18.84,19.68,19.26,F-4,21.32,,,Device 016: Duration 19.2 h < required 19.2 h for FR1.,,
MYT1L_001_1_3,MYT1L,1,M,Wt,34,16,12/12/2024 0:00,3/3/2025 0:00,24.61,,24.56,24.21,24.52,24.17,A-3,26.44,,,,,
MYT1L_001_10_44,MYT1L,1,M,Wt,39,1,12/13/2024 0:00,3/3/2025 0:00,27.54,,28.15,27.22,27.35,26.97,B-3,22.63,,,,,
MYT1L_001_12_45,MYT1L,1,M,Wt,40,40,12/12/2024 0:00,3/3/2025 0:00,26.44,,26.37,25.59,25.5,25.2,D-2,27.15,,,,,Low avg activity (2.95%)
MYT1L_001_2_9,MYT1L,1,M,Wt,35,35,12/12/2024 0:00,3/3/2025 0:00,23.28,,24.43,22.71,23.59,23.02,B-2,22.64,,,,,
MYT1L_001_3_19,MYT1L,1,M,Wt,31,31,12/13/2024 0:00,3/3/2025 0:00,26.74,,26.88,25.92,26.05,26.71,B-1,22.92,,,,,Low avg activity (3.37%)
MYT1L_001_5_22,MYT1L,1,M,Wt,32,47,12/13/2024 0:00,3/3/2025 0:00,26.66,,26.44,25.4,26,25.7,D-4,27.85,,,,,
MYT1L_001_5_26,MYT1L,1,M,Wt,33,33,12/13/2024 0:00,3/3/2025 0:00,24.43,,24.94,23.09,23.87,23.22,C-1,25.45,,,,,Low avg activity (4.53%)
MYT1L_001_7_30,MYT1L,1,M,Wt,36,49,12/13/2024 0:00,3/3/2025 0:00,26.96,,27.54,26.16,25.54,25.27,D-3,27.11,,,,,Low avg activity (4.62%)
MYT1L_001_8_34,MYT1L,1,M,Wt,37,50,12/13/2024 0:00,3/3/2025 0:00,24.15,,24.07,22.89,23.06,23.43,C-2,26.06,,,,,Low avg activity (4.23%)
MYT1L_001_8_36,MYT1L,1,M,Wt,38,52,12/13/2024 0:00,3/3/2025 0:00,26.43,,26.85,25.5,24.9,25.19,A-2,26.2,,,,,
